기출년도,과목,문제,보기1,보기2,보기3,보기4,보기5,정답,해설,이미지,이미지정렬,검증됨
"2023","영어","1. [1～4] 밑줄 친 부분의 의미와 가장 가까운 것을 고르시오.
Further explanations on our project will be given in ""subsequent"" 
presentations","1. required","2. following","3. advanced","4. supplementary","","2","'subsequent'는 '그 다음의', '차후의'라는 뜻을 가지고 있습니다. 이와 의미가 가장 가까운 단어는 'following'(다음의, 이어지는)입니다.

[단어 풀이]
① required: 필수적인
② following: 다음의
③ advanced: 진보한
④ supplementary: 보충의","","center","true"
"2023","영어","2. Folkways are customs that members of a group are expected to follow to show ""courtesy"" to others. For example, saying 'excuse me' when you sneeze is an American folkway.","1. charity","2. humility","3. boldness","4. politeness","","4","'courtesy'는 '예의', '공손함'을 의미합니다. 이와 유의어인 'politeness'가 정답입니다.

[단어 풀이]
① charity: 자선
② humility: 겸손
③ boldness: 대담함
④ politeness: 공손함, 예의","","center","true"
"2023","영어","3. These children have been ""brought up"" on a diet of healthy food.","1. raised","2. advised","3. observed","4. controlled","","1","'bring up'은 아이를 '기르다', '양육하다'라는 의미의 구동사입니다. 'raised'가 가장 적절한 유의어입니다.

[단어 풀이]
① raised: 길러진 (raise: 기르다)
② advised: 조언받은
③ observed: 관찰된
④ controlled: 통제된","","center","true"
"2023","영어","4. Slavery was not ""done away with"" until the nineteenth century in the U.S.","1. abolished","2. consented","3. criticized","4. justified","","1","'do away with'는 '폐지하다', '없애다'라는 뜻입니다. 따라서 'abolished'가 정답입니다.

[단어 풀이]
① abolished: 폐지된
② consented: 동의된
③ criticized: 비판받은
④ justified: 정당화된","","center","true"
"2023","영어","5. 밑줄 친 부분에 들어갈 말로 가장 적절한 것은?
Voters demanded that there should be greater _________ in 
the election process so that they could see and understand it 
clearly.","1. deception","2. flexibility","3. competition","4. transparency","","4","빈칸 뒤의 'so that they could see and understand it clearly'(그들이 그것을 명확하게 보고 이해할 수 있도록)라는 내용으로 보아, 선거 과정에서의 '투명성'을 요구했다는 내용이 적절합니다.

[단어 풀이]
① deception: 기만
② flexibility: 유연성
③ competition: 경쟁
④ transparency: 투명성","","center","true"
"2023","영어","6. 밑줄 친 부분 중 어법상 옳지 않은 것은?
One reason for upsets in sports—①in which the team 
②predicted to win and supposedly superior to their opponents 
surprisingly loses the contest—is ③what the superior team 
may not have perceived their opponents as ④threatening to 
their continued success","1. in which","2. predicted","3. what","4. threatening","","3","문장의 주어는 'One reason', 동사는 'is'입니다. ③번 뒤의 절은 보어 역할을 해야 합니다. 뒤따르는 절 'the superior team may not have perceived their opponents as threatening...'은 주어(the superior team), 동사(perceived), 목적어(their opponents), 목적격 보어(as threatening)를 모두 갖춘 완전한 문장입니다. 따라서 관계대명사 'what'은 쓸 수 없으며, 명사절을 이끄는 접속사 'that'으로 고쳐야 합니다.

① 전치사+관계대명사(in which) 뒤에는 완전한 문장이 오므로 적절합니다.
② predicted는 뒤에서 the team을 수식하는 과거분사로 적절합니다.
④ perceive A as B 구문에서 threatening은 형용사(분사)로서 적절합니다.","","center","true"
"2023","영어","7. 밑줄 친 부분이 어법상 옳지 않은 것은?","1. I ""should have gone"" this morning, but I was feeling a bit ill.","2. These days we do not save as much money ""as we used to.""","3. The rescue squad was happy to discover ""an alive man.""","4. The picture ""was looked at"" carefully by the art critic.","","3","③ 'alive'는 서술적 용법(보어 자리)으로 주로 쓰이는 형용사이며, 명사를 앞에서 직접 수식(한정적 용법)하지 않습니다. 따라서 'an alive man'은 틀린 표현이며, 'a living man' 혹은 'a man who is alive' 등으로 고쳐야 합니다.

① should have p.p.(~했어야 했다) 적절함.
② as much money as we used to (save) 대동사 및 원급 비교 적절함.
④ 수동태 문장으로 'look at'이 하나의 타동사 구처럼 동작하므로 'was looked at'은 적절합니다.","","center","true"
"2023","영어","8. 우리말을 영어로 잘못 옮긴 것은?","1. 우리는 그의 연설에 감동하게 되었다. → We were made touching with his speech.","2. 비용은 차치하고 그 계획은 훌륭한 것이었다. → Apart from its cost, the plan was a good one.","3. 그들은 뜨거운 차를 마시는 동안에 일몰을 보았다. → They watched the sunset while drinking hot tea.","4. 과거 경력 덕분에 그는 그 프로젝트에 적합하였다. → His past experience made him suited for the project.","","1","① '우리는 그의 연설에 감동하게 되었다'라는 의미가 되려면 수동태이면서 감정을 느끼는 주체(We)를 설명해야 합니다. 'We were made touching'은 문법적으로 어색하며 의미상으로도 맞지 않습니다. '감동을 받다'는 'be touched' 혹은 'be moved'를 사용해야 하므로, 'We were touched by his speech' 또는 'We were moved by his speech'가 적절합니다.

② Apart from(~은 차치하고) 적절함.
③ while drinking (분사구문) 적절함.
④ make + 목적어 + 목적격보어(형용사/분사) 구문으로 적절함.","","center","true"
"2023","영어","9. [9～10] 밑줄 친 부분에 들어갈 말로 가장 적절한 것은?
 A: Pardon me, but could you give me a hand, please?
B: ________________________________________________
A: I’m trying to find the Personnel Department. I have an 
appointment at 10.
B: It’s on the third floor.
A:How can I get up there?
B:Take the elevator around the corner.","1. We have no idea how to handle this situation.","2. Would you mind telling us who is in charge?","3. Yes. I could use some help around here.","4. Sure. Can I help you with anything?","","4","A가 도움을 요청하고(give me a hand), B의 응답 후에 A가 인사과를 찾고 있다고 구체적인 용건을 말합니다. 따라서 B는 도움을 주겠다는 긍정적인 응답을 해야 합니다. ④ ""Sure. Can I help you with anything?""(물론이죠. 뭘 도와드릴까요?)가 가장 자연스럽습니다.","","center","true"
"2023","영어","10.  A:You were the last one who left the office, weren’t you?
B:Yes. Is there any problem?
A: I found the office lights and air conditioners on this 
morning.
B:Really? Oh, no. Maybe I forgot to turn them off last 
night.
A: Probably they were on all night.
B: ________________________________________________","1. Don’t worry. This machine is working fine.","2. That’s right. Everyone likes to work with you.","3. I’m sorry. I promise I’ll be more careful from now on.","4. Too bad. You must be tired because you get off work too late.","","3","A가 B에게 사무실 불과 에어컨을 켜두고 갔다고 지적하는 상황입니다. B는 자신이 끄는 것을 잊었다고 인정하고 있으므로, 사과와 함께 앞으로 주의하겠다는 내용이 이어지는 것이 자연스럽습니다. ③ ""I’m sorry. I promise I’ll be more careful from now on.""(죄송해요. 앞으로는 더 조심하겠다고 약속드려요.)이 정답입니다.","","center","true"
