기출년도,과목,문제,보기1,보기2,보기3,보기4,보기5,정답,해설,이미지
"2023","행정법총론","1. 자동화된 행정결정에 대한 설명으로 옳지 않은 것은?","1. 자동화된 행정결정의 예로는 컴퓨터를 통한 중ㆍ고등학생의 학교배정, 신호등에 의한 교통신호 등이 있다.","2. 「행정기본법」상 자동적 처분은 항고소송의 대상이 된다.","3. 「행정기본법」상 자동적 처분을 할 수 있는 ‘완전히 자동화된 시스템’에는 ‘인공지능 기술을 적용한 시스템’이 포함되지 않는다.","4. 「행정기본법」은 재량행위에 대해서 자동적 처분을 허용하지 않고 있다.","","3","① 컴퓨터에 의한 학교배정 등은 자동화된 행정결정의 예에 해당한다.
② 「행정기본법」 제20조에 따라 자동적 처분도 처분이므로 항고소송의 대상이 된다.
③ 「행정기본법」 제20조 제1항에 따르면 '완전히 자동화된 시스템'에는 '인공지능 기술을 적용한 시스템'이 포함된다고 규정하고 있다. 따라서 포함되지 않는다는 설명은 옳지 않다.
④ 「행정기본법」은 재량행위에 대해서는 자동적 처분을 허용하지 않고 기속행위에 대해서만 허용한다.",""
"2023","행정법총론","2. 법치행정의 원칙에 대한 설명으로 옳지 않은 것은?","1. 규율대상이 국민의 기본권 및 기본적 의무와 관련한 중요성을 가질수록 그리고 그에 관한 공개적 토론의 필요성 또는 상충하는 이익 사이의 조정 필요성이 클수록, 그것이 국회의 법률에 의해 직접 규율될 필요성은 더 증대된다고 보아야 한다.","2. 법률의 시행령은 법률에 의한 위임 없이도 법률이 규정한 개인의 권리ㆍ의무에 관한 내용을 변경ㆍ보충하거나 법률에 규정되지 아니한 새로운 내용을 규정할 수 있다.","3. 법률유보의 원칙은 ‘법률에 의한 규율’만을 요청하는 것이 아니라 ‘법률에 근거한 규율’을 요청하는 것이기 때문에 기본권의 제한에는 법률의 근거가 필요할 뿐이고 기본권제한의 형식이 반드시 법률의 형식일 필요는 없다.","4. 행정작용은 법률에 위반되어서는 아니 되며, 국민의 권리를 제한하거나 의무를 부과하는 경우와 그 밖에 국민생활에 중요한 영향을 미치는 경우에는 법률에 근거해야 한다.","","2","② 법률의 시행령(대통령령)이나 부령은 모법인 법률의 구체적인 위임이 있어야 국민의 권리ㆍ의무에 관한 내용을 규정할 수 있다. 법률의 위임 없이 법률이 규정한 개인의 권리ㆍ의무를 변경ㆍ보충하거나 새로운 내용을 규정하는 것은 위임입법의 한계를 벗어난 것으로 허용되지 않는다.",""
"2023","행정법총론","3. 행정입법의 사법적 통제에 대한 설명으로 옳지 않은 것은?","1. 중앙선거관리위원회규칙은 법규명령이므로 구체적 규범통제의 대상이 될 수 있다.","2. 처분적 법규명령은 무효등확인소송 또는 취소소송의 대상이 된다.","3. 대법원 이외의 각급법원도 구체적 규범통제의 방법으로 법규명령 조항에 대한 위헌ㆍ위법 판단을 할 수 있다.","4. 행정입법부작위는 부작위위법확인소송의 대상이 된다.","","4","④ 행정입법부작위(추상적인 법령 제정의무 불이행)는 행정소송법상 부작위위법확인소송의 대상이 되지 않는다는 것이 대법원 판례이다. 부작위위법확인소송의 대상인 '부작위'는 행정청이 당사자의 신청에 대하여 상당한 기간 내에 일정한 처분을 하여야 할 법률상 의무가 있음에도 불구하고 이를 하지 아니하는 것을 말하는데, 입법 작용은 이에 해당하지 않는다.",""
"2023","행정법총론","4. 행정의 실효성 확보 수단에 대한 설명으로 옳지 않은 것은?","1. 「구 국세징수법」상 가산금 또는 중가산금의 고지는 항고소송의 대상이 되는 처분이 아니다.","2. 지방자치단체 소속 공무원이 지방자치단체 고유의 자치사무를 수행하던 중 「구 도로법」에 위반하는 행위를 한 경우 지방자치단체는 「구 도로법」상 양벌규정에 따라 처벌대상이 되는 법인에 해당한다.","3. 「구 음반ㆍ비디오물 및 게임물에 관한 법률」상 불법게임물에 대한 수거 및 폐기조치는 행정상 즉시강제에 해당한다.","4. 공매처분을 하면서 체납자에게 공매통지를 하지 않았거나 공매통지를 하였지만 그것이 적법하지 아니하다 하더라도 공매처분 자체는 위법하지 않다.","","4","④ 공매통지는 공매의 절차적 요건이므로, 체납자에게 공매통지를 하지 않았거나 공매통지가 적법하지 않은 경우 그 공매처분은 위법하다(취소사유에 해당함).",""
"2023","행정법총론","5. 사인의 공법행위에 대한 설명으로 옳은 것은?","1. 공무원에 의해 제출된 사직원은 그에 터잡은 의원면직처분이 있을 때까지 철회될 수 있고, 일단 면직처분이 있고 난 이후에도 자유로이 취소 및 철회될 수 있다.","2. 시장 등의 주민등록전입신고 수리 여부에 대한 심사는 「주민등록법」의 입법 목적의 범위 내에서 제한적으로 이루어져야 하는바, 전입신고자가 30일 이상 생활의 근거로서 거주할 목적으로 거주지를 옮기는지 여부가 심사 대상으로 되어야 한다.","3. 행정청은 신청에 구비서류의 미비 등 흠이 있는 경우 원칙상 형식적ㆍ절차적인 요건만을 보완요구하여야 하므로 실질적인 요건에 관한 흠이 민원인의 단순한 착오나 일시적인 사정 등에 기인한 경우에도 보완을 요구할 수 없다.","4. 사인의 공법행위는 원칙적으로 발신주의에 따라 그 효력이 발생한다.","","2","② 판례에 따르면 전입신고 수리 여부에 대한 심사는 주민등록법의 입법 목적 범위 내에서 전입신고자가 30일 이상 생활의 근거로서 거주할 목적으로 거주지를 옮기는지 여부만을 심사하여야 한다.
① 사직원은 의원면직처분이 있기 전에는 철회할 수 있으나, 일단 면직처분이 있고 난 후에는 철회할 수 없다.
③ 실질적 요건의 흠이 민원인의 단순 착오 등에 기인한 경우 보완요구를 할 수 있다.
④ 사인의 공법행위는 원칙적으로 도달주의에 따라 효력이 발생한다.",""
"2023","행정법총론","6. 행정소송의 판결에 대한 설명으로 옳지 않은 것은?","1. 처분등을 취소하는 확정판결은 제3자에 대하여도 효력이 있다.","2. 취소 확정판결의 기속력은 판결의 주문 및 전제가 되는 처분등의 구체적 위법사유에 관한 판단에도 미치므로, 종전 처분이 판결에 의하여 취소되었다면 종전 처분의 처분사유와 기본적 사실관계에서 동일하지 않은 다른 사유를 들어서 새로이 동일한 내용을 처분하는 것 또한 확정판결의 기속력에 저촉된다.","3. 법원은 원고의 청구가 이유있다고 인정하는 경우에도 처분등을 취소하는 것이 현저히 공공복리에 적합하지 아니하다고 인정하는 때에는 원고의 청구를 기각할 수 있다.","4. 과세의 절차 내지 형식에 위법이 있어 과세처분을 취소하는 판결이 확정되었을 경우 과세관청은 그 위법사유를 보완하여 다시 새로운 과세처분을 할 수 있고, 그 새로운 과세처분은 확정판결에 의하여 취소된 종전의 과세처분과는 별개의 처분이다.","","2","② 취소 확정판결의 기속력은 판결의 주문 및 그 전제가 되는 구체적 위법사유에 미치나, 기본적 사실관계가 동일하지 않은 다른 사유를 들어서 새로이 처분을 하는 것은 기속력에 저촉되지 않는다.",""
"2023","행정법총론","7. 행정상 사실행위에 대한 설명으로 옳지 않은 것은?","1. 행정상 사실행위의 예로는 폐기물 수거, 행정지도, 대집행의 실행, 행정상 즉시강제 등이 있다.","2. 행정청이 위법 건축물에 대한 단전 및 전화통화 단절조치를 요청한 것은 항고소송의 대상이 되는 행정처분이라고 볼 수 없다.","3. 교도소장이 영치품인 티셔츠 사용을 재소자에게 불허한 행위는 항고소송의 대상이 되는 행정처분에 해당한다.","4. 교도소 내 마약류 관련 수형자에 대한 교도소장의 소변강제채취는 권력적 사실행위이나 헌법소원의 대상은 아니다.","","4","④ 교도소 내 소변강제채취는 권력적 사실행위로서 헌법소원의 보충성 원칙의 예외에 해당하여 헌법소원의 대상이 될 수 있다(헌재 판례). '헌법소원의 대상은 아니다'라는 서술은 옳지 않다.",""
"2023","행정법총론","8. 행정의 실효성 확보 수단에 대한 설명으로 옳지 않은 것은?","1. 「농지법」상 이행강제금 부과처분에 대한 불복은 「비송사건절차법」에 따른 재판절차뿐만 아니라 「행정소송법」상 항고소송 절차에 따를 수 있다.","2. 관계 법령상 행정대집행의 절차가 인정되어 행정청이 행정대집행의 방법으로 건물의 철거 등 대체적 작위의무의 이행을 실현할 수 있는 경우에는 따로 민사소송의 방법으로 그 의무의 이행을 구할 수 없다.","3. 「행정조사기본법」에 따르면 조사대상자의 자발적인 협조를 얻어 행정조사를 실시하고자 하는 경우 조사대상자는 문서ㆍ전화ㆍ구두 등의 방법으로 당해 행정조사를 거부할 수 있다.","4. 통고처분은 상대방의 임의의 승복을 그 발효요건으로 하기 때문에 그 자체만으로는 통고이행을 강제하거나 상대방에게 아무런 권리ㆍ의무를 형성하지 않으므로 행정심판이나 행정소송의 대상으로서의 처분성을 인정할 수 없다.","","1","① 「농지법」상 이행강제금 부과처분에 대한 불복은 「비송사건절차법」에 따른 재판절차(과태료 재판 절차 준용)를 따르도록 규정되어 있으므로, 행정소송법상 항고소송의 대상이 되지 않는다.",""
"2023","행정법총론","9. 다음 각 사례에 대한 설명으로 옳은 것만을 모두 고르면?","1. ㄱ","2. ㄴ","3. ㄱ, ㄷ","4. ㄱ, ㄴ, ㄷ","","1","ㄱ. 국유 일반재산의 대부행위는 사경제 주체로서 행하는 사법상 계약이므로 행정처분이 아니다. (옳음)
ㄴ. 국유 일반재산 대부료 미납 시 국세징수법상 강제징수 절차(체납처분)를 따르도록 되어 있으므로, 민사소송으로 대부료 지급을 구할 수 없다. (틀림)
ㄷ. 변상금 부과처분은 공권력을 행사하는 행정처분이므로 항고소송(행정소송)의 대상이다. (틀림)",""
"2023","행정법총론","10. 행정지도에 대한 설명으로 옳지 않은 것은?","1. 행정기관은 행정지도의 상대방이 행정지도에 따르지 아니하였다는 것을 이유로 불이익한 조치를 하여서는 아니 된다.","2. 행정기관이 같은 행정목적을 실현하기 위하여 많은 상대방에게 행정지도를 하려는 경우에는 특별한 사정이 없으면 행정지도에 공통적인 내용이 되는 사항을 공표하여야 한다.","3. 위법한 행정지도에 따라 행한 사인의 행위는 위법성이 조각되어 범법행위가 되지 않는다.","4. 행정지도가 강제성을 띠지 않은 비권력적 작용으로서 행정지도의 한계를 일탈하지 아니하였다면, 그로 인하여 상대방에게 손해가 발생하였다 하더라도 행정기관은 손해배상책임이 없다.","","3","③ 행정지도가 위법하다고 해서 그에 따른 사인의 행위가 당연히 위법성이 조각되어 범법행위가 되지 않는 것은 아니다. 위법한 행정지도에 따랐더라도 그 행위 자체가 범죄 구성요건에 해당하면 처벌될 수 있다.",""
